genres,id,keywords,title,overview,cast,director,combined
"['crime', 'drama', 'thriller']",1645,"['kukluxklan', 'rape', 'mississippi']",a time to kill,"A young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the KKK.","['matthewmcconaughey', 'sandrabullock', 'samuell.jackson']",joelschumacher,"[ ' k u k l u x k l a n ' ,   ' r a p e ' ,   ' m i s s i s s i p p i ' ] [ ' m a t t h e w m c c o n a u g h e y ' ,   ' s a n d r a b u l l o c k ' ,   ' s a m u e l l . j a c k s o n ' ] joelschumacher [ ' c r i m e ' ,   ' d r a m a ' ,   ' t h r i l l e r ' ]"
['comedy'],11007,"['bigfamily', 'newjob', 'aspiringactor']",cheaper by the dozen,"The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University, forcing his writer wife, Mary, and the couple's 12 children to make a major adjustment. The transition works well until work demands pull the parents away from home, leaving the kids bored -- and increasingly mischievous.","['stevemartin', 'bonniehunt', 'piperperabo']",shawnlevy,"[ ' b i g f a m i l y ' ,   ' n e w j o b ' ,   ' a s p i r i n g a c t o r ' ] [ ' s t e v e m a r t i n ' ,   ' b o n n i e h u n t ' ,   ' p i p e r p e r a b o ' ] shawnlevy [ ' c o m e d y ' ]"
"['action', 'drama', 'thriller']",193756,"['war', 'survival', 'navyseal']",lone survivor,"Based on the failed June 28, 2005 mission ""Operation Red Wing."" Four members of SEAL Team 10, were tasked with the mission to capture or kill notorious Taliban leader, Ahmad Shah. Only one member of the team survived.","['markwahlberg', 'taylorkitsch', 'emilehirsch']",peterberg,"[ ' w a r ' ,   ' s u r v i v a l ' ,   ' n a v y s e a l ' ] [ ' m a r k w a h l b e r g ' ,   ' t a y l o r k i t s c h ' ,   ' e m i l e h i r s c h ' ] peterberg [ ' a c t i o n ' ,   ' d r a m a ' ,   ' t h r i l l e r ' ]"
['comedy'],11287,"['baseball', 'worldwarii', 'sport']",a league of their own,"Small-town sisters Dottie and Kit join an all-female baseball league formed after World War II brings pro baseball to a standstill. When their team hits the road with its drunken coach, the siblings find troubles and triumphs on and off the field.","['tomhanks', 'geenadavis', 'madonna']",pennymarshall,"[ ' b a s e b a l l ' ,   ' w o r l d w a r i i ' ,   ' s p o r t ' ] [ ' t o m h a n k s ' ,   ' g e e n a d a v i s ' ,   ' m a d o n n a ' ] pennymarshall [ ' c o m e d y ' ]"
['horror'],259693,"['londonengland', 'england', '1970s']",the conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,"['patrickwilson', 'verafarmiga', 'madisonwolfe']",jameswan,"[ ' l o n d o n e n g l a n d ' ,   ' e n g l a n d ' ,   ' 1 9 7 0 s ' ] [ ' p a t r i c k w i l s o n ' ,   ' v e r a f a r m i g a ' ,   ' m a d i s o n w o l f e ' ] jameswan [ ' h o r r o r ' ]"
['drama'],37799,"['hacker', 'hacking', 'creator']",the social network,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room as a small site among friends soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications.","['jesseeisenberg', 'andrewgarfield', 'justintimberlake']",davidfincher,"[ ' h a c k e r ' ,   ' h a c k i n g ' ,   ' c r e a t o r ' ] [ ' j e s s e e i s e n b e r g ' ,   ' a n d r e w g a r f i e l d ' ,   ' j u s t i n t i m b e r l a k e ' ] davidfincher [ ' d r a m a ' ]"
"['comedy', 'romance', 'drama']",10184,"['relationship', 'ensemblecast', 'duringcreditsstinger']",he's just not that into you,"Remember that really cute guy who said he'd call – and didn't? Maybe he lost your number. Maybe he's in the hospital. Maybe he's awed by your beauty, brains or success. Or maybe... he's just not that into you.","['benaffleck', 'jenniferaniston', 'drewbarrymore']",kenkwapis,"[ ' r e l a t i o n s h i p ' ,   ' e n s e m b l e c a s t ' ,   ' d u r i n g c r e d i t s s t i n g e r ' ] [ ' b e n a f f l e c k ' ,   ' j e n n i f e r a n i s t o n ' ,   ' d r e w b a r r y m o r e ' ] kenkwapis [ ' c o m e d y ' ,   ' r o m a n c e ' ,   ' d r a m a ' ]"
['comedy'],4257,"['hauntedhouse', 'alienlife-form', 'riesen-ipod']",scary movie 4,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.","['annafaris', 'reginahall', 'craigbierko']",davidzucker,"[ ' h a u n t e d h o u s e ' ,   ' a l i e n l i f e - f o r m ' ,   ' r i e s e n - i p o d ' ] [ ' a n n a f a r i s ' ,   ' r e g i n a h a l l ' ,   ' c r a i g b i e r k o ' ] davidzucker [ ' c o m e d y ' ]"
"['horror', 'mystery']",4234,"['mask', 'metaldetector', 'filmdirector']",scream 3,"A murdering spree begins to happen again, this time its targeted toward the original Woodsboro survivors and those associated with the movie inside a movie, 'Stab 3'. Sydney must face the demons of her past to stop the killer.","['davidarquette', 'nevecampbell', 'courteneycox']",wescraven,"[ ' m a s k ' ,   ' m e t a l d e t e c t o r ' ,   ' f i l m d i r e c t o r ' ] [ ' d a v i d a r q u e t t e ' ,   ' n e v e c a m p b e l l ' ,   ' c o u r t e n e y c o x ' ] wescraven [ ' h o r r o r ' ,   ' m y s t e r y ' ]"
"['adventure', 'comedy', 'family']",196,"['railroadrobber', 'california', 'delorean']",back to the future part iii,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.","['michaelj.fox', 'christopherlloyd', 'marysteenburgen']",robertzemeckis,"[ ' r a i l r o a d r o b b e r ' ,   ' c a l i f o r n i a ' ,   ' d e l o r e a n ' ] [ ' m i c h a e l j . f o x ' ,   ' c h r i s t o p h e r l l o y d ' ,   ' m a r y s t e e n b u r g e n ' ] robertzemeckis [ ' a d v e n t u r e ' ,   ' c o m e d y ' ,   ' f a m i l y ' ]"
['comedy'],257091,"['prison', 'training', 'framed']",get hard,"When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other.","['willferrell', 'kevinhart', 'alisonbrie']",etancohen,"[ ' p r i s o n ' ,   ' t r a i n i n g ' ,   ' f r a m e d ' ] [ ' w i l l f e r r e l l ' ,   ' k e v i n h a r t ' ,   ' a l i s o n b r i e ' ] etancohen [ ' c o m e d y ' ]"
"['romance', 'horror']",6114,"['adultery', 'maze', 'vampire']",dracula,"When Dracula leaves the captive Jonathan Harker and Transylvania for London in search of Mina Harker -- the spitting image of Dracula's long-dead wife, Elisabeta -- obsessed vampire hunter Dr. Van Helsing sets out to end the madness.","['garyoldman', 'winonaryder', 'anthonyhopkins']",francisfordcoppola,"[ ' a d u l t e r y ' ,   ' m a z e ' ,   ' v a m p i r e ' ] [ ' g a r y o l d m a n ' ,   ' w i n o n a r y d e r ' ,   ' a n t h o n y h o p k i n s ' ] francisfordcoppola [ ' r o m a n c e ' ,   ' h o r r o r ' ]"
"['romance', 'drama']",24803,"['cooking', 'book', 'cookbook']",julie & julia,"Julia Child and Julie Powell – both of whom wrote memoirs – find their lives intertwined. Though separated by time and space, both women are at loose ends... until they discover that with the right combination of passion, fearlessness and butter, anything is possible.","['merylstreep', 'amyadams', 'stanleytucci']",noraephron,"[ ' c o o k i n g ' ,   ' b o o k ' ,   ' c o o k b o o k ' ] [ ' m e r y l s t r e e p ' ,   ' a m y a d a m s ' ,   ' s t a n l e y t u c c i ' ] noraephron [ ' r o m a n c e ' ,   ' d r a m a ' ]"
['drama'],109410,"['baseball', 'biography', 'sport']",42,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.","['chadwickboseman', 't.r.knight', 'harrisonford']",brianhelgeland,"[ ' b a s e b a l l ' ,   ' b i o g r a p h y ' ,   ' s p o r t ' ] [ ' c h a d w i c k b o s e m a n ' ,   ' t . r . k n i g h t ' ,   ' h a r r i s o n f o r d ' ] brianhelgeland [ ' d r a m a ' ]"
"['thriller', 'crime', 'drama']",1213,"['venice', 'italy', 'gay']",the talented mr. ripley,"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.","['mattdamon', 'gwynethpaltrow', 'judelaw']",anthonyminghella,"[ ' v e n i c e ' ,   ' i t a l y ' ,   ' g a y ' ] [ ' m a t t d a m o n ' ,   ' g w y n e t h p a l t r o w ' ,   ' j u d e l a w ' ] anthonyminghella [ ' t h r i l l e r ' ,   ' c r i m e ' ,   ' d r a m a ' ]"
['comedy'],100042,"['friendship', 'sequel', 'roadmovie']",dumb and dumber to,"20 years after the dimwits set out on their first adventure, they head out in search of one of their long lost children in the hope of gaining a new kidney.","['jimcarrey', 'jeffdaniels', 'rachelmelvin']",bobbyfarrelly,"[ ' f r i e n d s h i p ' ,   ' s e q u e l ' ,   ' r o a d m o v i e ' ] [ ' j i m c a r r e y ' ,   ' j e f f d a n i e l s ' ,   ' r a c h e l m e l v i n ' ] bobbyfarrelly [ ' c o m e d y ' ]"
"['adventure', 'drama', 'family']",9036,"['expedition', 'pilot', 'survival']",eight below,"In the Antarctic, after an expedition with Dr. Davis McClaren, the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. For six months, Jerry tries to find a sponsor for a rescue mission.","['paulwalker', 'brucegreenwood', 'moonbloodgood']",frankmarshall,"[ ' e x p e d i t i o n ' ,   ' p i l o t ' ,   ' s u r v i v a l ' ] [ ' p a u l w a l k e r ' ,   ' b r u c e g r e e n w o o d ' ,   ' m o o n b l o o d g o o d ' ] frankmarshall [ ' a d v e n t u r e ' ,   ' d r a m a ' ,   ' f a m i l y ' ]"
['comedy'],257211,"['intern', 'womandirector']",the intern,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.","['robertdeniro', 'annehathaway', 'renerusso']",nancymeyers,"[ ' i n t e r n ' ,   ' w o m a n d i r e c t o r ' ] [ ' r o b e r t d e n i r o ' ,   ' a n n e h a t h a w a y ' ,   ' r e n e r u s s o ' ] nancymeyers [ ' c o m e d y ' ]"
"['action', 'comedy']",323675,"['police', 'sequel', 'policeofficer']",ride along 2,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.","['kevinhart', 'icecube', 'oliviamunn']",timstory,"[ ' p o l i c e ' ,   ' s e q u e l ' ,   ' p o l i c e o f f i c e r ' ] [ ' k e v i n h a r t ' ,   ' i c e c u b e ' ,   ' o l i v i a m u n n ' ] timstory [ ' a c t i o n ' ,   ' c o m e d y ' ]"
"['action', 'adventure', 'drama']",9361,"['secretlove', 'mohawk', 'nativeamerican']",the last of the mohicans,"As the English and French soldiers battle for control of the American colonies in the 18th century, the settlers and native Americans are forced to take sides. Cora and her sister Alice unwittingly walk into trouble but are reluctantly saved by Hawkeye, an orphaned settler adopted by the last of the Mohicans.","['danielday-lewis', 'madeleinestowe', 'russellmeans']",michaelmann,"[ ' s e c r e t l o v e ' ,   ' m o h a w k ' ,   ' n a t i v e a m e r i c a n ' ] [ ' d a n i e l d a y - l e w i s ' ,   ' m a d e l e i n e s t o w e ' ,   ' r u s s e l l m e a n s ' ] michaelmann [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' d r a m a ' ]"
"['drama', 'music']",1677,"['blackpeople', 'soul', 'countrymusic']",ray,"Born on a sharecropping plantation in Northern Florida, Ray Charles went blind at seven. Inspired by a fiercely independent mom who insisted he make his own way, He found his calling and his gift behind a piano keyboard. Touring across the Southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered couping gospel and country together.","['jamiefoxx', 'kerrywashington', 'reginaking']",taylorhackford,"[ ' b l a c k p e o p l e ' ,   ' s o u l ' ,   ' c o u n t r y m u s i c ' ] [ ' j a m i e f o x x ' ,   ' k e r r y w a s h i n g t o n ' ,   ' r e g i n a k i n g ' ] taylorhackford [ ' d r a m a ' ,   ' m u s i c ' ]"
"['action', 'thriller', 'crime']",187,"['dystopia', 'basedoncomicbook', 'heldcaptive']",sin city,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.","['jessicaalba', 'devonaoki', 'cliveowen']",robertrodriguez,"[ ' d y s t o p i a ' ,   ' b a s e d o n c o m i c b o o k ' ,   ' h e l d c a p t i v e ' ] [ ' j e s s i c a a l b a ' ,   ' d e v o n a o k i ' ,   ' c l i v e o w e n ' ] robertrodriguez [ ' a c t i o n ' ,   ' t h r i l l e r ' ,   ' c r i m e ' ]"
"['drama', 'action', 'thriller']",7461,"['bomb', 'terror', 'spain']",vantage point,The attempted assassination of the American President is told and re-told from several different perspectives.,"['dennisquaid', 'matthewfox', 'forestwhitaker']",petetravis,"[ ' b o m b ' ,   ' t e r r o r ' ,   ' s p a i n ' ] [ ' d e n n i s q u a i d ' ,   ' m a t t h e w f o x ' ,   ' f o r e s t w h i t a k e r ' ] petetravis [ ' d r a m a ' ,   ' a c t i o n ' ,   ' t h r i l l e r ' ]"
['comedy'],16538,"['poker', 'bondage', 'duringcreditsstinger']","i love you, man","Peter Klaven is a successful real estate agent who, upon getting engaged to the woman of his dreams, Zooey, discovers, to his dismay and chagrin, that he has no male friend close enough to serve as his Best Man. Peter immediately sets out to rectify the situation, embarking on a series of bizarre and awkward ""man-dates.""","['paulrudd', 'jasonsegel', 'rashidajones']",johnhamburg,"[ ' p o k e r ' ,   ' b o n d a g e ' ,   ' d u r i n g c r e d i t s s t i n g e r ' ] [ ' p a u l r u d d ' ,   ' j a s o n s e g e l ' ,   ' r a s h i d a j o n e s ' ] johnhamburg [ ' c o m e d y ' ]"
"['comedy', 'romance']",9889,"['overweight', 'beauty', 'hypnosis']",shallow hal,"A shallow man falls in love with a 300 pound woman because of her ""inner beauty"".","['gwynethpaltrow', 'jackblack', 'jasonalexander']",bobbyfarrelly,"[ ' o v e r w e i g h t ' ,   ' b e a u t y ' ,   ' h y p n o s i s ' ] [ ' g w y n e t h p a l t r o w ' ,   ' j a c k b l a c k ' ,   ' j a s o n a l e x a n d e r ' ] bobbyfarrelly [ ' c o m e d y ' ,   ' r o m a n c e ' ]"
"['drama', 'thriller', 'history']",820,"['assassination', 'cia', 'homophobia']",jfk,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,"['kevincostner', 'tommyleejones', 'garyoldman']",oliverstone,"[ ' a s s a s s i n a t i o n ' ,   ' c i a ' ,   ' h o m o p h o b i a ' ] [ ' k e v i n c o s t n e r ' ,   ' t o m m y l e e j o n e s ' ,   ' g a r y o l d m a n ' ] oliverstone [ ' d r a m a ' ,   ' t h r i l l e r ' ,   ' h i s t o r y ' ]"
"['comedy', 'crime']",11565,"['undercover', 'nanny', 'computervirus']",big momma's house 2,"FBI agent Malcolm Turner goes back undercover as Big Momma, a slick-talking, slam-dunking Southern granny with attitude to spare! Now this granny must play nanny to three dysfunctional upper class kids in order to spy on their computer hacked dad.","['martinlawrence', 'nialong', 'emilyprocter']",johnwhitesell,"[ ' u n d e r c o v e r ' ,   ' n a n n y ' ,   ' c o m p u t e r v i r u s ' ] [ ' m a r t i n l a w r e n c e ' ,   ' n i a l o n g ' ,   ' e m i l y p r o c t e r ' ] johnwhitesell [ ' c o m e d y ' ,   ' c r i m e ' ]"
"['action', 'comedy', 'crime']",6073,"['kidnapping', 'pistol']",the mexican,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border.","['bradpitt', 'juliaroberts', 'jamesgandolfini']",goreverbinski,"[ ' k i d n a p p i n g ' ,   ' p i s t o l ' ] [ ' b r a d p i t t ' ,   ' j u l i a r o b e r t s ' ,   ' j a m e s g a n d o l f i n i ' ] goreverbinski [ ' a c t i o n ' ,   ' c o m e d y ' ,   ' c r i m e ' ]"
['comedy'],16996,"['highschool', 'bullying', 'highschoolsports']",17 again,"On the brink of a midlife crisis, 30-something Mike O'Donnell wishes he could have a ""do-over."" And that's exactly what he gets when he wakes up one morning to find he's 17 years old again. With his adult mind stuck inside the body of a teenager, Mike actually has the chance to reverse some decisions he wishes he'd never made. But maybe they weren't so bad after all.","['zacefron', 'lesliemann', 'matthewperry']",burrsteers,"[ ' h i g h s c h o o l ' ,   ' b u l l y i n g ' ,   ' h i g h s c h o o l s p o r t s ' ] [ ' z a c e f r o n ' ,   ' l e s l i e m a n n ' ,   ' m a t t h e w p e r r y ' ] burrsteers [ ' c o m e d y ' ]"
"['comedy', 'romance']",193610,"['infidelity', 'revenge', 'unfaithfulboyfriend']",the other woman,"After discovering her boyfriend is married, Carly soon meets the wife he's been cheating on. And when yet another affair is discovered, all three women team up to plot mutual revenge on the three-timing SOB.","['camerondiaz', 'lesliemann', 'kateupton']",nickcassavetes,"[ ' i n f i d e l i t y ' ,   ' r e v e n g e ' ,   ' u n f a i t h f u l b o y f r i e n d ' ] [ ' c a m e r o n d i a z ' ,   ' l e s l i e m a n n ' ,   ' k a t e u p t o n ' ] nickcassavetes [ ' c o m e d y ' ,   ' r o m a n c e ' ]"
"['horror', 'mystery']",19912,"['carrace', 'dyinganddeath', 'plan']",the final destination,"After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end.","['bobbycampo', 'shantelvansanten', 'nickzano']",davidr.ellis,"[ ' c a r r a c e ' ,   ' d y i n g a n d d e a t h ' ,   ' p l a n ' ] [ ' b o b b y c a m p o ' ,   ' s h a n t e l v a n s a n t e n ' ,   ' n i c k z a n o ' ] davidr.ellis [ ' h o r r o r ' ,   ' m y s t e r y ' ]"
"['thriller', 'drama']",296098,"['spy', 'cia', 'coldwar']",bridge of spies,"During the Cold War, the Soviet Union captures U.S. pilot Francis Gary Powers after shooting down his U-2 spy plane. Sentenced to 10 years in prison, Powers' only hope is New York lawyer James Donovan, recruited by a CIA operative to negotiate his release. Donovan boards a plane to Berlin, hoping to win the young man's freedom through a prisoner exchange. If all goes well, the Russians would get Rudolf Abel, the convicted spy who Donovan defended in court.","['tomhanks', 'markrylance', 'amyryan']",stevenspielberg,"[ ' s p y ' ,   ' c i a ' ,   ' c o l d w a r ' ] [ ' t o m h a n k s ' ,   ' m a r k r y l a n c e ' ,   ' a m y r y a n ' ] stevenspielberg [ ' t h r i l l e r ' ,   ' d r a m a ' ]"
"['action', 'drama', 'thriller']",8007,"['helicopter', 'warcrimes', 'sniper']",behind enemy lines,"While flying a routine reconnaissance mission over Bosnia, fighter pilot Chris Burnett photographs something he wasn't supposed to see and gets shot down behind enemy lines, where he must outrun an army led by a ruthless Serbian general. With time running out and a deadly tracker on his trail, Burnett's commanding officer decides to risk his career and launch a renegade rescue mission to save his life.","['owenwilson', 'genehackman', 'gabrielmacht']",johnmoore,"[ ' h e l i c o p t e r ' ,   ' w a r c r i m e s ' ,   ' s n i p e r ' ] [ ' o w e n w i l s o n ' ,   ' g e n e h a c k m a n ' ,   ' g a b r i e l m a c h t ' ] johnmoore [ ' a c t i o n ' ,   ' d r a m a ' ,   ' t h r i l l e r ' ]"
['comedy'],32823,['aftercreditsstinger'],get him to the greek,"Pinnacle records has the perfect plan to get their sinking company back on track: a comeback concert in LA featuring Aldous Snow, a fading rockstar who has dropped off the radar in recent years. Record company intern Aaron Green is faced with the monumental task of bringing his idol, out of control rock star Aldous Snow, back to LA for his comeback show.","['jonahhill', 'russellbrand', 'rosebyrne']",nicholasstoller,"[ ' a f t e r c r e d i t s s t i n g e r ' ] [ ' j o n a h h i l l ' ,   ' r u s s e l l b r a n d ' ,   ' r o s e b y r n e ' ] nicholasstoller [ ' c o m e d y ' ]"
"['drama', 'romance', 'comedy']",4380,"['jealousy', 'wifehusbandrelationship', 'dancingmaster']",shall we dance?,"Upon first sight of a beautiful instructor, a bored and overworked estate lawyer signs up for ballroom dancing lessons.","['richardgere', 'jenniferlopez', 'susansarandon']",peterchelsom,"[ ' j e a l o u s y ' ,   ' w i f e h u s b a n d r e l a t i o n s h i p ' ,   ' d a n c i n g m a s t e r ' ] [ ' r i c h a r d g e r e ' ,   ' j e n n i f e r l o p e z ' ,   ' s u s a n s a r a n d o n ' ] peterchelsom [ ' d r a m a ' ,   ' r o m a n c e ' ,   ' c o m e d y ' ]"
"['comedy', 'adventure', 'fantasy']",11551,"['defenseindustry', 'toyshop', 'technicaltoy']",small soldiers,"When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously.","['gregorysmith', 'kirstendunst', 'denisleary']",joedante,"[ ' d e f e n s e i n d u s t r y ' ,   ' t o y s h o p ' ,   ' t e c h n i c a l t o y ' ] [ ' g r e g o r y s m i t h ' ,   ' k i r s t e n d u n s t ' ,   ' d e n i s l e a r y ' ] joedante [ ' c o m e d y ' ,   ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
"['action', 'adventure', 'fantasy']",10336,"['antihero', 'secretagent', 'fistfight']",spawn,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons (Michael Jai White) makes a pact with the devil to be resurrected to see his beloved wife Wanda (Theresa Randle). In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.","['michaeljaiwhite', 'martinsheen', 'johnleguizamo']",marka.z.dippé,"[ ' a n t i h e r o ' ,   ' s e c r e t a g e n t ' ,   ' f i s t f i g h t ' ] [ ' m i c h a e l j a i w h i t e ' ,   ' m a r t i n s h e e n ' ,   ' j o h n l e g u i z a m o ' ] marka.z.dippé [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' f a n t a s y ' ]"
"['action', 'adventure', 'drama']",11362,"['lossoflover', 'lover(female)', 'ex-lover']",the count of monte cristo,"Edmond Dantés's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, Dantés escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.","['jimcaviezel', 'guypearce', 'richardharris']",kevinreynolds,"[ ' l o s s o f l o v e r ' ,   ' l o v e r ( f e m a l e ) ' ,   ' e x - l o v e r ' ] [ ' j i m c a v i e z e l ' ,   ' g u y p e a r c e ' ,   ' r i c h a r d h a r r i s ' ] kevinreynolds [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' d r a m a ' ]"
"['crime', 'drama', 'thriller']",50348,"['judge', 'arrest', 'jury']",the lincoln lawyer,A lawyer conducts business from the back of his Lincoln town car while representing a high-profile client in Beverly Hills.,"['matthewmcconaughey', 'marisatomei', 'ryanphillippe']",bradfurman,"[ ' j u d g e ' ,   ' a r r e s t ' ,   ' j u r y ' ] [ ' m a t t h e w m c c o n a u g h e y ' ,   ' m a r i s a t o m e i ' ,   ' r y a n p h i l l i p p e ' ] bradfurman [ ' c r i m e ' ,   ' d r a m a ' ,   ' t h r i l l e r ' ]"
"['action', 'mystery', 'thriller']",48138,"['taxi', 'hotel', 'coma']",unknown,"An American biologist attending a conference in Berlin awakens from a coma after a car accident, only to discover that someone has taken his identity and that no one, not even his wife, believes him. With the help of an illegal immigrant and a former Stazi agent, he sets out to prove who he is and find out why people are trying to kill him.","['liamneeson', 'dianekruger', 'januaryjones']",jaumecollet-serra,"[ ' t a x i ' ,   ' h o t e l ' ,   ' c o m a ' ] [ ' l i a m n e e s o n ' ,   ' d i a n e k r u g e r ' ,   ' j a n u a r y j o n e s ' ] jaumecollet-serra [ ' a c t i o n ' ,   ' m y s t e r y ' ,   ' t h r i l l e r ' ]"
"['drama', 'mystery', 'thriller']",1124,"['competition', 'secret', 'obsession']",the prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.","['hughjackman', 'christianbale', 'michaelcaine']",christophernolan,"[ ' c o m p e t i t i o n ' ,   ' s e c r e t ' ,   ' o b s e s s i o n ' ] [ ' h u g h j a c k m a n ' ,   ' c h r i s t i a n b a l e ' ,   ' m i c h a e l c a i n e ' ] christophernolan [ ' d r a m a ' ,   ' m y s t e r y ' ,   ' t h r i l l e r ' ]"
['comedy'],227159,"['prison', 'kidnapping', 'sequel']",horrible bosses 2,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.","['jasonbateman', 'jasonsudeikis', 'charlieday']",seananders,"[ ' p r i s o n ' ,   ' k i d n a p p i n g ' ,   ' s e q u e l ' ] [ ' j a s o n b a t e m a n ' ,   ' j a s o n s u d e i k i s ' ,   ' c h a r l i e d a y ' ] seananders [ ' c o m e d y ' ]"
"['animation', 'comedy', 'adventure']",68179,"['spaceship', 'alien', 'rescue']",escape from planet earth,Astronaut Scorch Supernova finds himself caught in a trap when he responds to an SOS from a notoriously dangerous alien planet.,"['brendanfraser', 'robcorddry', 'rickygervais']",callanbrunker,"[ ' s p a c e s h i p ' ,   ' a l i e n ' ,   ' r e s c u e ' ] [ ' b r e n d a n f r a s e r ' ,   ' r o b c o r d d r y ' ,   ' r i c k y g e r v a i s ' ] callanbrunker [ ' a n i m a t i o n ' ,   ' c o m e d y ' ,   ' a d v e n t u r e ' ]"
"['action', 'adventure', 'drama']",1579,"['lossoffamily', 'solareclipse', 'slavery']",apocalypto,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.","['rudyyoungblood', 'raoulmaxtrujillo', 'gerardotaracena']",melgibson,"[ ' l o s s o f f a m i l y ' ,   ' s o l a r e c l i p s e ' ,   ' s l a v e r y ' ] [ ' r u d y y o u n g b l o o d ' ,   ' r a o u l m a x t r u j i l l o ' ,   ' g e r a r d o t a r a c e n a ' ] melgibson [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' d r a m a ' ]"
"['action', 'adventure', 'thriller']",708,"['londonengland', 'smugglingofarms', 'prison']",the living daylights,James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious.,"['timothydalton', ""maryamd'abo"", 'jeroenkrabbé']",johnglen,"[ ' l o n d o n e n g l a n d ' ,   ' s m u g g l i n g o f a r m s ' ,   ' p r i s o n ' ] [ ' t i m o t h y d a l t o n ' ,   "" m a r y a m d ' a b o "" ,   ' j e r o e n k r a b b é ' ] johnglen [ ' a c t i o n ' ,   ' a d v e n t u r e ' ,   ' t h r i l l e r ' ]"
